"stochastic_num","edge_iter","scenario_id","p_ssp","cessation_rate","p_treat_hcv","p_test_hcv","p_ltfu_hiv","sherlock_id_group","sherlock_id"
1,1,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,1,1
1,1,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,2,1
1,4,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,3,1
1,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,4,1
1,4,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,5,1
1,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,6,1
1,5,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,7,1
1,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,8,1
2,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,9,1
2,5,28,0.53,0.013,0.275232,0.0288427481580413,0.019710810011481,10,1
2,5,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,11,1
2,5,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,12,1
2,5,41,0.68,0.0255,0.42864,0.124914376624509,0.00625224656290169,13,1
2,5,42,0.83,0.0255,0.42864,0.124914376624509,0.00625224656290169,14,1
2,5,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,15,1
2,5,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,16,1
2,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,17,1
3,1,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,18,1
3,1,42,0.83,0.0255,0.42864,0.124914376624509,0.00625224656290169,19,1
3,1,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,20,1
3,1,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,21,1
3,1,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,22,1
3,5,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,23,1
3,5,42,0.83,0.0255,0.42864,0.124914376624509,0.00625224656290169,24,1
3,5,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,25,1
3,5,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,26,1
3,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,27,1
4,1,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,28,1
4,1,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,29,1
4,1,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,30,1
4,1,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,31,1
4,5,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,32,1
4,5,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,33,1
4,5,42,0.83,0.0255,0.42864,0.124914376624509,0.00625224656290169,34,1
4,5,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,35,1
4,5,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,36,1
4,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,37,1
5,1,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,38,1
5,5,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,39,1
7,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,40,1
7,4,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,41,1
7,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,42,1
7,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,43,1
9,4,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,44,1
9,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,45,1
9,4,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,46,1
9,4,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,47,1
9,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,48,1
11,3,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,49,1
11,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,50,1
11,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,51,1
12,1,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,52,1
12,3,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,53,1
12,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,54,1
12,4,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,55,1
12,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,56,1
14,1,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,57,1
14,1,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,58,1
14,1,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,59,1
14,1,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,60,1
14,1,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,61,1
14,3,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,62,1
14,3,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,63,1
14,3,42,0.83,0.0255,0.42864,0.124914376624509,0.00625224656290169,64,1
14,3,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,65,1
14,3,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,66,1
14,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,67,1
14,4,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,68,1
14,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,69,1
14,4,41,0.68,0.0255,0.42864,0.124914376624509,0.00625224656290169,70,1
14,4,42,0.83,0.0255,0.42864,0.124914376624509,0.00625224656290169,71,1
14,4,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,72,1
14,4,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,73,1
14,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,74,1
14,5,15,0.83,0.0255,0.342912,0.0684762028381091,0.0110659331391373,75,1
14,5,28,0.53,0.013,0.275232,0.0288427481580413,0.019710810011481,76,1
14,5,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,77,1
14,5,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,78,1
16,3,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,79,1
16,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,80,1
16,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,81,1
16,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,82,1
17,5,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,83,1
18,3,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,84,1
18,3,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,85,1
18,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,86,1
18,4,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,87,1
18,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,88,1
18,4,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,89,1
18,4,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,90,1
18,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,91,1
19,3,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,92,1
19,3,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,93,1
19,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,94,1
19,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,95,1
19,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,96,1
19,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,97,1
23,4,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,98,1
23,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,99,1
23,5,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,100,1
23,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,101,1
25,2,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,102,1
26,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,103,1
27,3,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,104,1
27,3,42,0.83,0.0255,0.42864,0.124914376624509,0.00625224656290169,105,1
27,3,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,106,1
27,3,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,107,1
27,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,108,1
28,3,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,109,1
28,4,43,0.53,0.038,0.42864,0.124914376624509,0.00625224656290169,110,1
28,4,44,0.68,0.038,0.42864,0.124914376624509,0.00625224656290169,111,1
28,4,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,112,1
28,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,113,1
29,3,29,0.68,0.013,0.275232,0.0288427481580413,0.019710810011481,114,1
29,3,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,115,1
29,5,30,0.83,0.013,0.275232,0.0288427481580413,0.019710810011481,116,1
29,5,45,0.83,0.038,0.42864,0.124914376624509,0.00625224656290169,117,1
